Date,Time,Location,Event Name,Attendance
2,6:30 PM,WFC,Disturbed Concert,10000
2,6:45 PM,CBP,PHILLIES vs Rockies,38000
3,1:05 PM,CBP,PHILLIES vs Rockies,35000
3,7:30 PM,WFC,SIXERS vs Bucks,13000
4,6:45 PM,CBP,PHILLIES vs Dodgers,43000
4,7:00 PM,WFC,Deftones Concert,15000
5,4:05 PM,CBP,PHILLIES vs Dodgers,44000
5,7:00 PM,WFC,SIXERS vs Timberwolves,16000
6,1:35 PM,CBP,PHILLIES vs Dodgers,44000
11,7:00 PM,WFC,SIXERS vs Hawks,18000
12,12:30 PM,WFC,FLYERS vs Islanders,18000
12,2:30 PM,LFF,Supercross Motorcycle Racing,40000
12,7:00 PM,WFC,WINGS vs Swarm,11000
13,1:00 PM,WFC,SIXERS vs Bulls >>> end of regular season,18000
14,6:45 PM,CBP,PHILLIES vs Giants,43000
15,6:45 PM,CBP,PHILLIES vs Giants,41000
15,7:00 PM,WFC,FLYERS vs Blue Jackets >>> end of regular season,18000
16,6:45 PM,CBP,PHILLIES vs Giants,41000
17,4:05 PM,CBP,PHILLIES vs Giants,41000
17,7:00 PM,WFC,Mary J. Blige Concert,18000
18,6:45 PM,CBP,PHILLIES vs Marlins,43000
19,1:05 PM,CBP,PHILLIES vs Marlins,44000
20,1:35 PM,CBP,PHILLIES vs Marlins,44500
26,9 AM,unknown,SCSSD Community Shredding Event >>> at 10th & Bigler,1000
26,5:00 PM,LFF,Monster Jam Trucks,40000
27,3:00 PM,CBP,Charity Walk,2000
29,6:45 PM,CBP,PHILLIES vs Nationals,43000
30,6:45 PM,CBP,PHILLIES vs Nationals,43000
