Date,Time,Location,Event Name,Attendance
2,6:40pm,CBP,PHILLIES vs Padres,43000
3,6:40pm,CBP,PHILLIES vs Padres,43000
4,6:40pm,CBP,PHILLIES vs Padres,43000
4,7:30pm,XMA,A$AP Rocky Concert,15000
5,6:40pm,CBP,PHILLIES vs White Sox,43000
5,7:30pm,XMA,Summer Walker Concert,15000
6,4:05pm,CBP,PHILLIES vs White Sox,43000
7,1:35pm,CBP,PHILLIES vs White Sox,43000
7,8:00pm,XMA,Josh Groban Concert,15000
12,5:50pm,CBP,Graduation,1000
13,7:00am,CBP,Charity Walk,2000
13,8:00pm,XMA,Alkaline Concert,15000
14,7:00pm,LFF,World Cup Ecuador vs Ivory Coast,65000
15,6:40pm,CBP,PHILLIES vs Marlins,43000
16,6:40pm,CBP,PHILLIES vs Marlins,43000
17,1:05pm,CBP,PHILLIES vs Marlins,43000
18,6:40pm,CBP,PHILLIES vs Mets,43000
19,8:30pm,LFF,World Cup Brazil vs Haiti,65000
20,7:15pm,CBP,PHILLIES vs Mets,43000
21,7:20pm,CBP,PHILLIES vs Mets,43000
22,5:00pm,LFF,World Cup France vs Iraq,65000
25,4:00pm,LFF,World Cup Curacao vs Ivory Coast,65000
26,6:30pm,CBP,Noah Kahan Concert,40000
27,5:00pm,LFF,World Cup Croatia vs Ghana,65000
29,6:40pm,CBP,PHILLIES vs Pirates,43000
30,6:40pm,CBP,PHILLIES vs Pirates,43000
