Date,Time,Location,Event Name,Attendance
1,12:00 pm,XMA,Disney on Ice,7000
1,4:00 pm,XMA,Disney on Ice,7000
2,11:00 am,XMA,Disney on Ice,7000
2,3:00 pm,XMA,Disney on Ice,7000
2,7:00 pm,XMA,Disney on Ice,7000
3,11:00 am,XMA,Disney on Ice,7000
3,3:00 pm,XMA,Disney on Ice,7000
3,7:00 pm,XMA,Disney on Ice,7000
5,8:30 pm,XMA,76ERS vs Nuggets,18000
6,7:00 pm,XMA,FLYERS vs Ducks,18000
7,7:00 pm,XMA,76ERS vs Wizards,18000
8,7:00 pm,XMA,FLYERS vs Maple Leafs,18000
9,7:00 pm,XMA,WINGS vs Knighthawks,5000
10,7:00 pm,XMA,FLYERS vs Lightning,18000
12,7:00 pm,XMA,FLYERS vs Lightning,18000
14,7:00 pm,XMA,76ERS vs Cavaliers,18000
15,7:00 pm,XMA,Jeff Dunham Comedy,15000
16,7:00 pm,XMA,76ERS vs Cavaliers,18000
17,1:00 pm,XMA,FLYERS vs Rangers,18000
17,8:00 pm,XMA,College Basketball St Johns vs Villanova,15000
19,7:00 pm,XMA,76ERS vs Pacers,18000
20,7:00 pm,XMA,76ERS vs Suns,18000
22,7:00 pm,XMA,76ERS vs Rockets,18000
23,7:00 pm,XMA,WINGS vs Seals,5000
24,3:00 pm,XMA,76ERS vs Knicks,18000
26,7:00 pm,XMA,FLYERS vs Islanders,18000
27,8:00 pm,XMA,76ERS vs Bucks,18000
29,7:00 pm,XMA,76ERS vs Kings,18000
30,7:30 pm,XMA,Unrivaled Basketball,15000
31,12:30 pm,XMA,FLYERS vs Kings,18000
31,7:30 pm,XMA,76ERS vs Pelicans,18000
