Date,Time,Location,Event Name,Attendance
5,6:40pm,CBP,PHILLIES vs Athletics,43000
6,6:40pm,CBP,PHILLIES vs Athletics,43000
7,6:40pm,CBP,PHILLIES vs Athletics,43000
7,8:00pm,XMA,FLYERS vs Hurricans,19000
8,5:30pm,LFF,Eagles Autism Foundation Kickoff Party,2500
8,6:40pm,CBP,PHILLIES vs Rockies,43000
8,7:00pm,XMA,76ERS vs Knicks,19000
13,7:00pm,XMA,FLYERS vs Hurricans if necessary time TBA,19000
14,7:00pm,XMA,76ERS vs Knicks if necessary time TBA,19000
18,6:40pm,CBP,PHILLIES vs Reds,43000
19,6:40pm,CBP,PHILLIES vs Reds,43000
20,1:05pm,CBP,PHILLIES vs Reds,43000
22,6:40pm,CBP,PHILLIES vs Guardians,43000
29,7:00pm,SL!,Taking Back Sunday Concert and Stateside Live Plaza Grand Opening,5000
