Date,Time,Location,Event Name,Attendance
1,1:05pm,CBP,PHILLIES vs Nationals,43000
2,7:00pm,XMA,FLYERS vs Red Wings,18000
3,7:00pm,XMA,76ERS vs Timberwolves,18000
4,7:00pm,XMA,76ERS vs Pistons,18000
5,3:30pm,XMA,FLYERS vs Bruins,18000
7,7:30pm,XMA,Cardi B Concert,15000
10,6:40pm,CBP,PHILLIES vs Diamondbacks,43000
11,1:05pm,CBP,PHILLIES vs Diamondbacks,43000
11,7:00pm,XMA,WINGS vs Desert Dogs,5000
12,1:35pm,CBP,PHILLIES vs Diamondbacks,43000
12,6:00pm,XMA,76ERS vs Bucks,18000
13,6:40pm,CBP,PHILLIES vs Cubs,43000
13,7:00pm,XMA,FLYERS vs Hurricanes,18000
14,6:40pm,CBP,PHILLIES vs Cubs,43000
14,7:00pm,XMA,FLYERS vs Canadiens,18000
15,6:40pm,CBP,PHILLIES vs Cubs,43000
17,6:40pm,CBP,PHILLIES vs Braves,43000
18,1:00pm,LFF,Monster Truck Jam,40000
18,7:15pm,CBP,PHILLIES vs Braves,43000
18,8:00pm,XMA,Demi Lovato Concert,15000
19,7:20pm,CBP,PHILLIES vs Braves,43000
25,6:30pm,LFF,AMA Supercross Motorcycle Racing,40000
25,7:30pm,XMA,Florence + The Machine Concert,15000
26,3:00pm,CBP,Charity Walk,1200
28,6:40pm,CBP,PHILLIES vs Giants,43000
29,6:40pm,CBP,PHILLIES vs Giants,43000
29,7:30pm,XMA,FLYERS vs Penguins,19000
30,1:05pm,CBP,PHILLIES vs Giants,43000
30,8:00pm,XMA,76ERS vs Celtics,19000
