Date,Time,Location,Event Name,Attendance
1,6:00 pm,CBP,Phillies Intrasquad Game,31000
2,7:00 pm,XMA,FLYERS vs Islanders,10000
3,7:00 pm,XMA,NBA YoungBoy Concert,13000
4,1:00 pm,LFF,Temple Football vs UTSA,10000
4,12:30 pm,XMA,Flyers vs Devils,10000
4,6:38 pm,CBP,PHILLIES vs Dodgers NLDS Game 1,70000
5,1:00 pm,LFF,EAGLES vs Broncos,69000
6,6:08 pm,CBP,PHILLIES vs Dodgers NLDS Game 2,70000
9,12:00 pm,DelawareRiver,Homecoming 250 Parade of Ships (all day),5000
10,7:00 pm,XMA,76ERS vs Magic,10000
11,4:00 pm,LFF,Temple Football vs Navy,20000
11,12:00 pm,CBP,PHILLIES vs Dodgers NLDS Game 5 (Time TBD if necessary),70000
11,5:15 pm,XMA,Boxing Ennis vs Lima,12000
13,7:00 pm,XMA,FLYERS vs Panthers (Home Opener),18000
14,7:00 pm,XMA,Mumford and Sons Concert,15000
16,7:00 pm,XMA,FLYERS vs Jets,18000
17,7:00 pm,XMA,76ERS vs T-Wolves,10000
18,7:00 pm,XMA,FLYERS vs Wild,18000
20,7:00 pm,XMA,FLYERS vs Kraken,18000
23,7:00 pm,XMA,Billie Eilish Concert,18000
24,7:30 pm,XMA,Laufey Concert,15000
25,12:30 pm,XMA,FLYERS vs Islanders,18000
25,1:00 pm,FDR Park,SCSSD Children's Halloween Party,1000
25,7:30 pm,XMA,76ERS vs Hornets,18000
26,1:00 pm,LFF,EAGLES vs Giants,69000
27,7:00 pm,XMA,76ERS vs Magic,18000
28,6:00 pm,XMA,FLYERS vs Penguins,18000
29,7:30 pm,XMA,Bryan Adams Concert,10000
30,7:00 pm,LFF,College Football (Norfolk State vs Delaware State), 22000
30,7:00 pm,XMA,FLYERS vs Predators,18000
31,7:00 pm,XMA,76ERS vs Celtics,18000
