Date,Time,Location,Event Name,Attendance
1,10:30 am,XMA,Flyers Charities Carnival,6000
2,7:30 pm,XMA,WWE Wrestling Monday Night Raw,15000
3,7:00 pm,XMA,FLYERS vs Capitals,18000
5,7:00 pm,XMA,FLYERS vs Senators,18000
7,7:00 pm,XMA,Bare Knuckle Fighting,10000
10,7:00 pm,XMA,Brandi Carlile,15000
11,7:30 pm,XMA,76ERS vs Knicks,18000
13,7:00 pm,XMA,Circus,5000
14,11:00 am,XMA,Circus,5000
14,3:00 pm,XMA,Circus,5000
14,7:00 pm,XMA,Circus,5000
15,11:00 am,XMA,Circus,5000
15,3:00 pm,XMA,Circus,5000
15,7:00 pm,XMA,Circus,5000
16,12:00 pm,XMA,Circus,5000
19,7:00 pm,XMA,76ERS vs Hawks,18000
21,5:30 pm,XMA,College Basketball UConn vs Villanova,15000
22,3:00 pm,XMA,Wings vs Rush
24,7:30 pm,XMA,Twice Concert,15000
26,7:00 pm,XMA,76ERS vs Heat,18000
27,7:00 pm,XMA,WINGS vs Swarm,5000
28,3:00 pm,XMA,FLYERS vs Bruins,18000
