Date,Time,Location,Event Name,Attendance
1,6:40pm,CBP,PHILLIES vs Pirates,43000
2,12:35pm,CBP,PHILLIES vs Pirates,43000
3,8:00pm,XMA,Bare Knuckle Fighting,15000
4,5:00pm,LFF,FIFA World Cup Game,65000
10,7:00pm,CBP,MLB ASG HBCU Swingman Classic,15000
11,7:00pm,XMA,Megan Moroney Concert,15000
12,12:00pm,CBP,MLB ASG Futures Game and 3x3 Game,43000
13,8:00pm,CBP,MLB ASG Home Run Derby,43000
14,8:00pm,CBP,MLB All Star Game,43000
15,7:00pm,XMA,Tame Impala Concert,15000
16,7:10pm,CBP,Phillies vs Mets,43000
16,7:30pm,XMA,Lionel Richie and Earth Wind and Fire Concert,15000
17,8:00pm,LFF,Shane Gillis,65000
18,8:30pm,LFF,Diplo 5K,7000
18,4:05pm,CBP,PHILLIES vs Mets,43000
19,1:35pm,CBP,PHILLIES vs Mets,43000
20,7:10pm,CBP,PHILLIES vs Dodgers,43000
20,8:00pm,XMA,J Cole Concert,15000
21,6:40pm,CBP,PHILLIES vs Dodgers,43000
21,8:00pm,XMA,J Cole Concert,15000
22,6:40pm,CBP,PHILLIES vs Dodgers,43000
23,7:00pm,XMA,Shinedown Concert,15000
24,6:45pm,CBP,PHILLIES vs Yankees,43000
25,1:00pm,CBP,PHILLIES vs Yankees,43000
26,7:20pm,CBP,PHILLIES vs Yankees,43000
31,5:30pm,LFF,Morgan Wallen Concert,65000
