Date,Time,Location,Event Name,Attendance
1,7:00 pm,XMA,FLYERS vs Penguins,18000
2,7:00 pm,XMA,76ERS vs Wizards,18000
3,7:30 pm,XMA,FLYERS vs Sabres,18000
4,7:00 pm,XMA,76ERS vs Warriors,18000
5,8:00 pm,XMA,Meek Mill & Friends Concert,15000
6,2:00 pm,XMA,College Basketball Classic,15000
7,1:00 pm,XMA,FLYERS vs Avalance,18000
7,7:30 pm,XMA,76ERS vs Lakers,18000
9,7:00 pm,XMA,FLYERS vs Sharks,18000
11,7:00 pm,XMA,FLYERS vs Golden Knights,18000
13,1:00 pm,XMA,WINGS vs Mammoth,5000
13,7:00 pm,XMA,FLYERS vs Hurricans,18000
14,1:00 pm,LFF,EAGLES vs Raiders,69000
14,8:00 pm,XMA,MGK Concert,15000
15,7:30 pm,XMA,Jingle Ball Concert,15000
19,8:00 pm,XMA,Rod Wave Concert,15000
20,7:00 pm,XMA,76ERS vs Mavericks,18000
21,3:00 pm,XMA,Trans-Siberian Orchestra,13000
21,7:30 pm,XMA,Trans-Siberian Orchestra,13000
22,7:30 pm,XMA,FLYERS vs Canucks,18000
23,7:30 pm,XMA,76ERS vs Nets,18000
26,3:00 pm,XMA,Disney On Ice,7000
26,7:00 pm,XMA,Disney On Ice,7000
27,11:00 am,XMA,Disney On Ice,7000
27,3:00 pm,XMA,Disney On Ice,7000
27,7:00 pm,XMA,Disney On Ice,7000
28,11:00 am,XMA,Disney On Ice,7000
28,3:00 pm,XMA,Disney On Ice,7000
28,7:00 pm,XMA,Disney On Ice,7000
29,11:00 am,XMA,Disney On Ice,7000
29,3:00 pm,XMA,Disney On Ice,7000
29,7:00 pm,XMA,Disney On Ice,7000
30,11:00 am,XMA,Disney On Ice,7000
30,3:00 pm,XMA,Disney On Ice,7000
30,7:00 pm,XMA,Disney On Ice,7000
31,10:00 am,XMA,Disney On Ice,7000
31,2:00 pm,XMA,Disney On Ice,7000
