Date,Time,Location,Event Name,Attendance
1,6:45 PM,CBP,PHILLIES vs Tigers,43000
2,4:05 PM,CBP,PHILLIES vs Tigers,43000
3,7:10 PM,CBP,PHILLIES vs Tigers,43000
4,6:45 PM,CBP,PHILLIES vs Orioles,43000
5,6:45 PM,CBP,PHILLIES vs Orioles,43000
6,12:35 PM,CBP,PHILLIES vs Orioles,43000
7,7:00 PM,WFC,Nate Bargatze Comedy,15000
7,7:30 PM,LFF,EAGLES vs Bengals (Preseason),55000
8,7:00 PM,WFC,Nate Bargatze Comedy,18000
9,7:00 PM,WFC,Katy Perry Concert,13000
10,6:00 PM,LFF,Eagles Open Practice,50000
10,7:00 PM,CBP,Chris Brown Concert,43000
15,6:00 PM,CBP,My Chemical Romance Concert,43000
16,1:00 PM,LFF,Eagles vs Browns (Preseason),55000
16,7:30 PM,WFC,Lincoln Park Concert,18000
18,6:45 PM,CBP,PHILLIES vs Mariners,43000
18,7:30 PM,WFC,WWE Wrestling Monday Night RAW,12000
19,6:45 PM,CBP,PHILLIES vs Mariners,43000
20,1:05 PM,CBP,PHILLIES vs Mariners,43000
20,7:00 PM,WFC,Disney Concert,13000
21,7:30 PM,WFC,The Who Concert,12000
22,6:45 PM,CBP,PHILLIES vs Nationals,43000
23,12:30 PM,WFC,Monster Trucks,6000
23,6:05 PM,CBP,PHILLIES vs Nationals,43000
23,7:30 PM,WFC,Monster Trucks,6000
24,1:35 PM,CBP,PHILLIES vs Nationals,43000
24,2:30 PM,WFC,Monster Trucks,6000
27,7:30 PM,WFC,Nine Inch Nails Concert,15000
28,6:45 PM,CBP,PHILLIES vs Braves,43000
29,6:45 PM,CBP,PHILLIES vs Braves,43000
30,6:05 PM,CBP,PHILLIES vs Braves,43000
31,7:10 PM,CBP,PHILLIES vs Braves,43000
