Date,Time,Location,Event Name,Attendance
1,6:25 PM,CBP,PHILLIES vs Padres,43000
2,1:05 PM,CBP,PHILLIES vs Padres,43000
4,1:05 PM,CBP,PHILLIES vs Reds,43000
5,4:05 PM,CBP,PHILLIES vs Reds,43000
5,7:30 PM,WFC,Tyler the Creator Concert,15000
6,1:35 PM,CBP,PHILLIES vs Reds,43000
6,7:30 PM,WFC,Tyler the Creator Concert,15000
9,7:30 PM,WFC,Theo Von Comedy,15000
11,7:00 PM,WFC,Cirque du Soleil,6000
12,3:00 PM,WFC,Cirque du Soleil,6000
12,7:00 PM,WFC,Cirque du Soleil,6000
13,1:00 PM,WFC,Cirque du Soleil,6000
13,5:00 PM,WFC,Cirque du Soleil,6000
18,6:45 PM,CBP,PHILLIES vs Angels,43000
18,8:00 PM,WFC,Wu-Tang Clan Concert,15000
19,6:05 PM,CBP,PHILLIES vs Angels,43000
19,8:00 PM,WFC,Ghost Concert,15000
20,1:35 PM,CBP,PHILLIES vs Angels,43000
21,6:45 PM,CBP,PHILLIES vs Red Sox,43000
22,6:45 PM,CBP,PHILLIES vs Red Sox,43000
23,7:05 PM,CBP,PHILLIES vs Red Sox,43000
26,7:00 PM,CBP,Savannah Bananas,43000
27,3:30 PM,CBP,Savannah Bananas,43000
30,7:00 PM,LFF,The Weeknd Concert,55000
31,7:00 PM,LFF,The Weeknd Concert,55000
