Date,Time,Location,Event Name,Attendance
1,1:35 PM,CBP,PHILLIES vs Brewers,43000
5,9:00 AM,CBP,Private Event,1600
7,8:00 AM,CBP,Charity Walk,1000
8,8:00 AM,CBP,Charity Walk,1200
9,6:45 PM,CBP,PHILLIES vs Cubs,43000
10,6:45 PM,CBP,PHILLIES vs Cubs (Post-Game Concert),43000
11,1:05 PM,CBP,PHILLIES vs Cubs,43000
12,5:00 PM,CBP,Drexel Graduation,12000
13,6:45 PM,CBP,PHILLIES vs Blue Jays,43000
14,4:05 PM,CBP,PHILLIES vs Blue Jays,43000
15,1:35 PM,CBP,PHILLIES vs Blue Jays,43000
16,9:00 PM,LFF,FIFA Club World Cup Soccer,51000
18,12:00 PM,LFF,FIFA Club World Cup Soccer,51000
19,7:00 PM,WFC,Lil Baby Concert,13000
20,2:00 PM,LFF,FIFA Club World Cup Soccer,51000
20,7:15 PM,CBP,PHILLIES vs Mets,43000
21,7:15 PM,CBP,PHILLIES vs Mets,43000
22,12:00 PM,LFF,FIFA Club World Cup Soccer,51000
22,2:00 PM,CBP,Welcome America Block Party,1000
22,7:10 PM,CBP,PHILLIES vs Mets,43000
24,9:00 PM,LFF,FIFA Club World Cup Soccer,51000
26,9:00 PM,LFF,FIFA Club World Cup Soccer,51000
28,12:00 PM,LFF,FIFA Club World Cup Soccer,51000
30,6:30 PM,CBP,PHILLIES vs Padres (Post-Game Fireworks),51000
