Date,Time,Location,Event Name,Attendance
2,7:00pm,SL!,Concert,n/a
2,7:30pm,XMA,Jonas Brothers Concert,15000
3,7:00pm,XMA,FLYERS vs Hurricanes,18000
4,1:00pm,LFF,EAGLES vs Rams,69000
5,7:00pm,XMA,76ERS vs Knicks,18000
10,7:00pm,XMA,Teddy Swims Concert,15000
11,7:00pm,XMA,FLYERS vs Hurricanes,18000
13,7:00pm,XMA,FLYERS vs Kraken,18000
15,8:00pm,XMA,Johnny Blue Skies Concert,12000
16,7:00pm,XMA,76ERS vs Celtics,18000
17,7:00pm,XMA,FLYERS vs Senators,18000
18,1:00pm,LFF,EAGLES vs Panthers,69000
19,7:00pm,XMA,FLYERS vs Avalance,18000
22,7:00pm,XMA,76ERS vs Cavaliers,18000
24,1:00pm,XMA,FLYERS vs Ducks,18000
24,7:30pm,XMA,76ERS vs Bucks,18000
25,7:30pm,XMA,76ERS vs Pistons,18000
26,8:15pm,LFF,EAGLES vs Cowboys,69000
27,7:00pm,XMA,FLYERS vs Blue Jackets,18000
28,7:30pm,XMA,Journey Concert,12000
30,7:30pm,XMA,76ERS vs Knicks,18000
31,6:30pm,XMA,Motionless in White Concert,12000
