Date,Time,Location,Event Name,Attendance
1,2:00 pm,LFF,Temple Football vs East Carolina,10000
1,7:00 pm,XMA,FLYERS vs Maple Leafs,18000
2,7:00 pm,XMA,FLYERS vs Flames,18000
8,1:00 pm,XMA,FLYERS vs Senators,18000
8,7:30 pm,XMA,76ERS vs Raptors,18000
9,7:30 pm,XMA,76ERS vs Pistons,18000
10,7:00 pm,XMA,Playboi Carti Concert,10000
11,8:00 pm,XMA,76ERS vs Celtics,18000
12,7:30 pm,XMA,FLYERS vs Oilers,18000
14,7:00 pm,XMA,Druski Comedy,12000
15,12:00 pm,XMA,College Basketball,12000
16,8:20 pm,LFF,EAGLES vs Lions,69000
17,7:00 pm,XMA,76ERS vs Clippers,18000
19,7:00 pm,XMA,76ERS vs Raptors,18000
20,7:00 pm,XMA,FLYERS vs Blues,18000
22,12:00 pm,LFF,Temple Football vs Tulane,18000
22,7:00 pm,XMA,FLYERS vs Devils,18000
23,1:00 pm,XMA,76ERS vs Heat,18000
25,8:00 pm,XMA,76ERS vs Magic,18000
28,3:00 pm,LFF,EAGLES vs Bears,69000
29,8:00 pm,XMA,Matt Rife Comedy,15000
30,6:00 pm,XMA,76ERS vs Hawks,18000
