Date,Time,Location,Event Name,Attendance
3,8:00 pm,WFC,Benson Boone Concert,13000
4,8:20 pm,LFF,EAGLES vs Cowboys,69000
6,2:00 pm,LFF,TEMPLE vs Howard,10000
6,7:30 pm,WFC,Tate McRae Concert,15000
8,6:45 pm,CBP,PHILLIES vs Mets,43000
9,6:45 pm,CBP,PHILLIES vs Mets,43000
10,6:45 pm,CBP,PHILLIES vs Mets,43000
11,7:15 pm,CBP,PHILLIES vs Mets,43000
12,6:45 pm,CBP,PHILLIES vs Royals,43000
13,12:00 pm,LFF,TEMPLE vs Oklahoma,20000
13,6:05 pm,CBP,PHILLIES vs Royals,43000
13,7:30 pm,WFC,Eric Clapton Concert,15000
14,1:35 pm,CBP,PHILLIES vs Royals,43000
18,7:30 pm,WFC,Eric Church Concert,15000
19,6:30 pm,CBP,The Lumineers Concert,43000
19,7:30 pm,WFC,Adam Sandler Comedy,15000
20,8:00 pm,WFC,Kali Uchis Concert,12000
21,1:00 pm,LFF,EAGLES vs Rams,69000
23,6:45 pm,CBP,PHILLIES vs Marlins,43000
24,6:45 pm,CBP,PHILLIES vs Marlins,43000
24,8:00 pm,WFC,Sleep Token Concert,12000
25,6:05 pm,CBP,PHILLIES vs Marlins,43000
26,6:45 pm,CBP,PHILLIES vs Twins,43000
27,5:00 pm,WFC,FLYERS vs Bruins,10000
27,6:05 pm,CBP,PHILLIES vs Twins,43000
28,3:05 pm,CBP,PHILLIES vs Twins,43000
30,7:00 pm,WFC,Lorde Concert,12000
