Date,Time,Location,Event Name,Attendance
1,7:00pm,LFF,Bruno Mars Concert,55000
2,7:00pm,LFF,Bruno Mars Concert,55000
3,7:30pm,XMA,Don Toliver Concert,12000
4,6:40pm,CBP,PHILLIES vs Braves,43000
4,7:30pm,XMA,Kacey Musgraves Concert,12000
5,2:00pm,LFF,Temple vs Rhode Island College Football,8000
5,6:05pm,CBP,PHILLIES vs Braves,43000
6,1:10pm,CBP,PHILLIES vs Braves,43000
7,1:05pm,CBP,PHILLIES vs Braves,43000
8,6:40pm,CBP,PHILLIES vs Astros,43000
9,6:40pm,CBP,PHILLIES vs Astros,43000
10,1:05pm,CBP,PHILLIES vs Astros,43000
11,8:00pm,XMA,Charlie XCX Concert,12000
12,12:00pm,LFF,Temple vs Penn State College Football,60000
12,8:00pm,XMA,Rod Wave Concert,15000
13,4:25pm,LFF,EAGLES vs Commanders,69000
14,8:00pm,XMA,Rod Wave Concert,12000
19,5:30pm,LFF,Ed Sheeran Concert,50000
22,6:40pm,CBP,PHILLIES vs Brewers,43000
23,6:40pm,CBP,PHILLIES vs Brewers,43000
24,6:05pm,CBP,PHILLIES vs Brewers,43000
24,7:00pm,XMA,FLYERS vs Bruins,12000
25,4:00pm,LFF,Temple vs Army,12000
25,6:40pm,CBP,PHILLIES vs Rays,43000
26,5:00pm,XMA,FLYERS vs Capitals,12000
26,7:15pm,CBP,PHILLIES vs Rays,43000
27,3:05pm,CBP,PHILLIES vs Rays,43000
28,7:30pm,XMA,Phoebe Bridgers Concert,14000
29,7:00pm,LFF,AC/DC Concert,48000
29,7:00pm,XMA,Weezer Concert,12000
30,7:30mp,XMA,FLYERS vs Penguins,19000
