Date,Time,Location,Event Name,Attendance
1,12:00pm,XMA,Harlem Globetrotters,6000
1,5:00pm,XMA,Harlem Globetrotters,6000
2,8:00pm,XMA,Conan Gray Concert,15000
3,8:00pm,XMA,76ERS vs Spurs,18000
4,7:30pm,XMA,76ERS vs Jazz,18000
5,7:00pm,XMA,FLYERS vs Mammoth,18000
6,8:00pm,XMA,Jo Koy Comedy,15000
7,8:30pm,XMA,Mana Concert,15000
8,3:00pm,XMA,WINGS vs Firewolves,5000
9,7:00pm,XMA,FLYERS vs Rangers,18000
10,7:00pm,XMA,76ERS vs Grizzlies,18000
11,7:30pm,XMA,FLYERS vs Capitals,18000
12,7:00pm,XMA,Brandon Lake Concert,15000
13,7:00pm,XMA,Bad Omens Concert,15000
14,1:00pm,XMA,76ERS vs Nets,18000
14,7:00pm,XMA,FLYERS vs Blue Jackets,18000
15,6:00pm,XMA,76ERS vs Trailblazers,18000
20,12:00pm,XMA,NCAA March Madness Round 1 (games all day time TBD),20000
21,9:00am,CBP,Phillies 5K,6000
22,12:00pm,XMA,NCAA March Madness Round 2 (games all day time TBD),20000
23,7:00pm,XMA,76ERS vs Thunder,18000
24,7:00pm,XMA,FLYERS vs Blue Jackets,18000
25,7:00pm,XMA,76ERS vs Bulls,18000
26,4:15pm,CBP,PHILLIES vs Rangers (Home Opener),45000
26,7:00pm,XMA,FLYERS vs Blackhawks,18000
27,7:00pm,XMA,WINGS vs Thunderbirds,5000
28,4:05pm,CBP,PHILLIES vs Rangers,43000
29,1:00pm,XMA,WINGS vs Rock,5000
29,1:35pm,CBP,PHILLIES vs Rangers,43000
29,7:00pm,XMA,FLYERS vs Stars,18000
30,6:40pm,CBP,PHILLIES vs Nationals,43000
31,6:40pm,CBP,PHILLIES vs Nationals,43000
